date;description
01.01.2018;New Year's Day
30.03.2018;Good Friday
02.04.2018;Easter Monday
01.05.2018;Labour day
10.05.2018;Ascension
21.05.2018;Whit Monday
03.10.2018;German Unification Day
25.12.2018;Christmas Day
01.01.2019;New Year's Day
19.04.2019;Good Friday
22.04.2019;Easter Monday
01.05.2019;Labour day
30.05.2019;Ascension
10.06.2019;Whit Monday
03.10.2019;German Unification Day
25.12.2019;Christmas Day
01.01.2020;New Year's Day
10.04.2020;Good Friday
13.04.2020;Easter Monday
01.05.2020;Labour day
21.05.2020;Ascension
01.06.2020;Whit Monday
03.10.2020;German Unification Day
25.12.2020;Christmas Day
01.01.2021;New Year's Day
02.04.2021;Good Friday
05.04.2021;Easter Monday
01.05.2021;Labour day
13.05.2021;Ascension
24.05.2021;Whit Monday
03.10.2021;German Unification Day
25.12.2021;Christmas Day
01.01.2022;New Year's Day
15.04.2022;Good Friday
18.04.2022;Easter Monday
01.05.2022;Labour day
26.05.2022;Ascension
06.06.2022;Whit Monday
03.10.2022;German Unification Day
25.12.2022;Christmas Day
01.01.2023;New Year's Day
07.04.2023;Good Friday
10.04.2023;Easter Monday
01.05.2023;Labour day
18.05.2023;Ascension
29.05.2023;Whit Monday
03.10.2023;German Unification Day
25.12.2023;Christmas Day
01.01.2024;New Year's Day
29.03.2024;Good Friday
01.04.2024;Easter Monday
01.05.2024;Labour day
09.05.2024;Ascension
20.05.2024;Whit Monday
03.10.2024;German Unification Day
25.12.2024;Christmas Day
01.01.2025;New Year's Day
18.04.2025;Good Friday
21.04.2025;Easter Monday
01.05.2025;Labour day
29.05.2025;Ascension
09.06.2025;Whit Monday
03.10.2025;German Unification Day
25.12.2025;Christmas Day
01.01.2026;New Year's Day
03.04.2026;Good Friday
06.04.2026;Easter Monday
01.05.2026;Labour day
14.05.2026;Ascension
25.05.2026;Whit Monday
03.10.2026;German Unification Day
25.12.2026;Christmas Day
01.01.2027;New Year's Day
26.03.2027;Good Friday
29.03.2027;Easter Monday
01.05.2027;Labour day
06.05.2027;Ascension
17.05.2027;Whit Monday
03.10.2027;German Unification Day
25.12.2027;Christmas Day
